,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_delta,param_feature_subsampling_pct,param_max_depth,param_min_samples,param_n_trees,param_window,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
47,71.35218096,0.545593818,0.02647646,0.000199469057,0.125,0.8983777818386056,5,2,43,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.8983777818386056, 'max_depth': 5, 'min_samples': 2, 'n_trees': 43, 'window': 8}",0.38130539,0.45318784,0.28611584,0.37353636,0.0684277331,32
48,137.55600588,3.07404094,0.02636957,0.0020515932,0.1,0.9420714947988528,5,7,44,16,"{'delta': 0.1, 'feature_subsampling_pct': 0.9420714947988528, 'max_depth': 5, 'min_samples': 7, 'n_trees': 44, 'window': 16}",-0.12222036,0.27996822,-0.07537124,0.02745888,0.179572525,95
49,2.35538864,0.0533552277,0.01876871,0.000230945149,0.075,0.2447272462757488,3,3,73,4,"{'delta': 0.075, 'feature_subsampling_pct': 0.2447272462757488, 'max_depth': 3, 'min_samples': 3, 'n_trees': 73, 'window': 4}",0.10621936,0.08390202,0.13949199,0.10987112,0.0228409415,93
50,150.65979393,7.90487227,0.0504938,0.00200719452,inv,0.9950117163497386,5,2,87,sqrt,"{'delta': 'inv', 'feature_subsampling_pct': 0.9950117163497386, 'max_depth': 5, 'min_samples': 2, 'n_trees': 87, 'window': 'sqrt'}",0.49055033,0.49241707,0.48809288,0.49035343,0.00177082306,7
51,11.32031552,0.0611567488,0.01650961,0.000236025108,0.175,0.39285972834334093,5,9,27,4,"{'delta': 0.175, 'feature_subsampling_pct': 0.39285972834334093, 'max_depth': 5, 'min_samples': 9, 'n_trees': 27, 'window': 4}",0.3942483,0.44316325,0.40998186,0.4157978,0.0203885092,21
52,32.889774,0.874199495,0.04795798,0.00144842274,0.05,0.37725471266715027,5,5,78,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.37725471266715027, 'max_depth': 5, 'min_samples': 5, 'n_trees': 78, 'window': 4}",0.34165262,0.31922311,0.33355526,0.331477,0.00927398437,48
53,10.87018466,0.34158579,0.01612631,0.000342338437,0.175,0.3386821309135529,3,7,57,16,"{'delta': 0.175, 'feature_subsampling_pct': 0.3386821309135529, 'max_depth': 3, 'min_samples': 7, 'n_trees': 57, 'window': 16}",0.43883577,0.46345082,0.44764907,0.44997855,0.0101831548,14
54,19.9161574,0.35767874,0.01748761,0.000142599736,0.1,0.902841899659402,4,4,40,sqrt,"{'delta': 0.1, 'feature_subsampling_pct': 0.902841899659402, 'max_depth': 4, 'min_samples': 4, 'n_trees': 40, 'window': 'sqrt'}",0.40852244,0.42336499,0.4486681,0.42685184,0.016573818,17
55,2.77316006,0.00734556558,0.01448917,0.000176824095,0.125,0.7020316536967897,2,6,80,4,"{'delta': 0.125, 'feature_subsampling_pct': 0.7020316536967897, 'max_depth': 2, 'min_samples': 6, 'n_trees': 80, 'window': 4}",0.35033516,0.33829356,0.34039484,0.34300785,0.00525172306,44
56,0.68633779,0.017006847,0.00611575,0.000193330403,0.125,0.12188436978830847,2,9,36,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.12188436978830847, 'max_depth': 2, 'min_samples': 9, 'n_trees': 36, 'window': 8}",0.18407439,0.15610966,0.21384855,0.18467753,0.0235756599,82
